cajero,fecha,num averias,target
T12766C1,"19/08/2016 15:03:00,000000000",1,1
T10181E1,"22/08/2016 13:20:06,000000000",2,1
T10130C1,"22/08/2016 13:21:12,000000000",1,1
T13066C1,"23/08/2016 09:36:58,000000000",1,1
T17434B1,"23/08/2016 09:40:28,000000000",2,1
T12944D1,"23/08/2016 09:42:48,000000000",1,1
T12944D1,"23/08/2016 09:45:21,000000000",2,1
T14207E1,"23/08/2016 11:33:33,000000000",2,1
T11939B1,"23/08/2016 13:07:05,000000000",3,1
T17015B1,"24/08/2016 08:37:38,000000000",4,1
T17080B1,"24/08/2016 12:48:46,000000000",1,1
T11025B1,"24/08/2016 14:58:59,000000000",2,1
T13388B1,"25/08/2016 14:22:36,000000000",0,1
T16091B1,"26/08/2016 15:11:41,000000000",2,1
T16436B1,"29/08/2016 08:35:32,000000000",1,1
T11025B1,"29/08/2016 08:51:56,000000000",3,1
T16398B1,"30/08/2016 15:22:32,000000000",1,1
T10559B1,"01/09/2016 09:55:21,000000000",1,1
T12766C1,"01/09/2016 12:38:24,000000000",2,1
T14770D1,"05/09/2016 10:26:11,000000000",1,1
T11519C1,"05/09/2016 11:06:55,000000000",2,1
T12944D1,"05/09/2016 11:27:41,000000000",3,1
T12944B1,"05/09/2016 11:27:55,000000000",2,1
T16436B1,"07/09/2016 09:17:48,000000000",2,1
T10181E1,"08/09/2016 09:28:05,000000000",2,1
T16460C1,"12/09/2016 13:21:32,001000000",1,1
T10559B1,"12/09/2016 14:38:59,001000000",2,1
T17566B1,"13/09/2016 11:25:34,000000000",2,1
T14220D1,"14/09/2016 09:08:23,000000000",1,1
T10731B1,"14/09/2016 09:16:53,000000000",1,1
T11937C1,"14/09/2016 10:00:03,000000000",2,1
T11941B1,"14/09/2016 10:13:16,000000000",2,1
T14207D1,"15/09/2016 10:51:51,000000000",0,1
T10409C1,"15/09/2016 13:23:20,000000000",1,1
T10731B1,"16/09/2016 09:21:27,000000000",2,1
T10005E1,"16/09/2016 10:55:35,000000000",1,1
T11345C1,"16/09/2016 12:45:51,000000000",1,1
T17911G1,"17/09/2016 13:16:28,000000000",0,1
T16436B1,"19/09/2016 10:32:09,000000000",3,1
T12766C1,"19/09/2016 14:10:11,000000000",2,1
T15036B1,"19/09/2016 15:03:32,000000000",1,1
T10166C1,"21/09/2016 10:24:48,000000000",2,1
T10212B1,"22/09/2016 10:32:22,000000000",3,1
T16436B1,"22/09/2016 13:16:06,001000000",4,1
T15791B1,"22/09/2016 15:40:28,000000000",1,1
T10812E1,"23/09/2016 11:50:20,000000000",1,1
T10812E1,"23/09/2016 13:38:40,000000000",2,1
T16398B1,"23/09/2016 14:56:21,000000000",2,1
T17911G1,"24/09/2016 12:13:12,000000000",2,1
T19034C1,"26/09/2016 09:22:40,000000000",1,1
T14220D1,"26/09/2016 10:43:09,000000000",2,1
T14502B1,"26/09/2016 12:08:17,000000000",1,1
T16900B1,"26/09/2016 14:34:04,000000000",2,1
T14502B1,"26/09/2016 18:59:52,000000000",3,1
T14502B1,"26/09/2016 18:59:53,000000000",3,1
T10456D1,"27/09/2016 09:48:07,001000000",1,1
T14770D1,"27/09/2016 11:16:45,000000000",2,1
T11694B1,"27/09/2016 14:10:24,000000000",1,1
T17205C1,"27/09/2016 15:37:42,000000000",1,1
T16900B1,"28/09/2016 07:52:44,000000000",3,1
T10861B1,"28/09/2016 09:13:59,000000000",1,1
T11600E1,"28/09/2016 10:58:17,000000000",1,1
T16964B1,"28/09/2016 13:10:35,000000000",1,1
T14924D1,"29/09/2016 17:12:14,000000000",1,1
T11937C1,"29/09/2016 19:19:00,000000000",2,1
T11017E1,"29/09/2016 19:59:25,000000000",1,1
T10256E1,"30/09/2016 08:30:10,000000000",1,1
T16900B1,"30/09/2016 12:00:39,000000000",4,1
T12731B1,"30/09/2016 12:05:35,000000000",1,1
T18327D1,"30/09/2016 14:27:59,000000000",1,1
T16376D1,"03/10/2016 01:15:24,000000000",1,1
T15873D1,"03/10/2016 08:44:55,000000000",1,1
T13071B1,"03/10/2016 09:24:04,000000000",2,1
